Entity,Code,Year,Annual-change-in-primary-energy-consumption,Code_isNo
Algeria,DZA,2013,5.7724237,12.0
Antigua and Barbuda,ATG,2013,0.00975132,28.0
Albania,ALB,2013,25.495779,8.0
Angola,AGO,2013,11.913908,24.0
Argentina,ARG,2013,3.994,32.0
American Samoa,ASM,2013,-0.059574842,16.0
Afghanistan,AFG,2013,-17.060984,4.0
Antarctica,ATA,2013,-0.2596438,10.0
Algeria,DZA,2014,9.05745,12.0
Antarctica,ATA,2014,-0.007927418,10.0
Albania,ALB,2014,-11.911308,8.0
Antigua and Barbuda,ATG,2014,2.2451997,28.0
Argentina,ARG,2014,-0.15696883,32.0
Angola,AGO,2014,10.065079,24.0
Afghanistan,AFG,2014,-15.069813,4.0
American Samoa,ASM,2014,-0.0012636185,16.0
Angola,AGO,2015,4.298997,24.0
Antigua and Barbuda,ATG,2015,2.3575544,28.0
Albania,ALB,2015,0.069606304,8.0
Argentina,ARG,2015,1.7433524,32.0
Antarctica,ATA,2015,1.5614867,10.0
Afghanistan,AFG,2015,15.227342,4.0
Algeria,DZA,2015,5.448115,12.0
American Samoa,ASM,2015,-0.007778406,16.0
Albania,ALB,2016,16.851997,8.0
Afghanistan,AFG,2016,-8.733887,4.0
Algeria,DZA,2016,-0.08457899,12.0
American Samoa,ASM,2016,0.4567027,16.0
Antarctica,ATA,2016,-0.12673736,10.0
Argentina,ARG,2016,-0.45297146,32.0
Angola,AGO,2016,-8.758915,24.0
Antigua and Barbuda,ATG,2016,1.4556408,28.0
Antarctica,ATA,2017,-6.0304165,10.0
Argentina,ARG,2017,-0.103491545,32.0
Afghanistan,AFG,2017,-1.0852158,4.0
Algeria,DZA,2017,1.101923,12.0
Angola,AGO,2017,-4.6101513,24.0
Antigua and Barbuda,ATG,2017,-4.8630657,28.0
Albania,ALB,2017,-7.443386,8.0
American Samoa,ASM,2017,0.09919405,16.0
American Samoa,ASM,2018,-0.011003017,16.0
Antarctica,ATA,2018,0.0,10.0
Afghanistan,AFG,2018,14.710259,4.0
Angola,AGO,2018,3.386879,24.0
Albania,ALB,2018,14.024425,8.0
Antigua and Barbuda,ATG,2018,3.035295,28.0
Algeria,DZA,2018,7.346189,12.0
Argentina,ARG,2018,-0.7112682,32.0
Afghanistan,AFG,2019,-10.597926,4.0
Argentina,ARG,2019,-5.7893515,32.0
Antigua and Barbuda,ATG,2019,0.5309582,28.0
Antarctica,ATA,2019,7.1525574e-05,10.0
Angola,AGO,2019,12.704622,24.0
American Samoa,ASM,2019,-0.020068884,16.0
Albania,ALB,2019,-20.786016,8.0
Algeria,DZA,2019,3.6930084,12.0
American Samoa,ASM,2020,-4.7124624,16.0
Albania,ALB,2020,-3.9260745,8.0
Algeria,DZA,2020,-6.5457106,12.0
Afghanistan,AFG,2020,-9.636235,4.0
Argentina,ARG,2020,-6.20358,32.0
Antigua and Barbuda,ATG,2020,-15.374809,28.0
Angola,AGO,2020,-0.6293118,24.0
Antarctica,ATA,2020,-15.814793,10.0
American Samoa,ASM,2021,15.329385,16.0
Antarctica,ATA,2021,6.4159393,10.0
Angola,AGO,2021,-18.316156,24.0
Argentina,ARG,2021,11.018586,32.0
Algeria,DZA,2021,8.34794,12.0
Albania,ALB,2021,25.83543,8.0
Afghanistan,AFG,2021,-0.9418011,4.0
Antigua and Barbuda,ATG,2021,6.6805243,28.0
